name,alternatename,street,address,contact_no
新興運輸倉庫本社,シンコウウンユソウコホンシャ,Shibaura-futo Station,"海岸3丁目30-1<br>Minato, 東京都 〒<br>108-0022<br>Japan",03 3453 6001
住友倉庫東京平和島営業所第２倉庫,スミトモソウコトウキョウシテンヘイワジマエイギョウショダイニソウコ,null,"平和島5丁目3-1<br>Ōta, 東京都 〒<br>143-0006<br>Japan",03 3765 2811
東菱企業整備工場,トウリョウキギョウセイビコウジョウ,null,"東海4丁目310<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3799 4785
テイソウ足立営業所,テイソウアダチエイギョウショ • Teisou足立営業所,Tonerikoen Station,"入谷6丁目2-11<br>Adachi, 東京都 〒<br>121-0836<br>Japan",03 3855 3251
日本トランスシティ東京足立営業所,ニホントランスシテイトウキヨウシテンアダチエイギヨウシヨ • 日本Toransushiti東京足立営業所,Tonerikoen Station,"入谷6丁目2-11<br>Adachi, 東京都 〒<br>121-0836<br>Japan",03 3855 1801
トミザワ,Tomizawa,Kasai station,"東葛西6丁目47-16<br>Edogawa, 東京都 〒<br>134-0084<br>Japan",0120 86 8585
清水運輸倉庫,シミズウンユソウコ,Nishi-mizumoto,"西水元1丁目21-2<br>Katsushika, 東京都 〒<br>125-0031<br>Japan",03 3607 6161
ワタナベ流通川口営業所,ワタナベリュウツウカワグチエイギョウショ • Watanabe流通川口営業所,null,"弥平3丁目8-9<br>Kawaguchi, 埼玉県 〒<br>332-0002<br>Japan",048 223 7321
中山通商浦安倉庫,ナカヤマツウシヨウウラヤスソウコ,null,"鉄鋼通り2丁目4-10<br>Urayasu, 千葉県 〒<br>279-0025<br>Japan",047 351 1891
コミヤマ,Komiyama,Adachi-Odai Station,"小台1丁目23-9<br>Adachi, 東京都 〒<br>120-0046<br>Japan",03 3870 5511
深山小台倉庫,フカヤマオダイソウコ,Miyagi,"宮城1丁目152<br>Adachi, 東京都 〒<br>120-0047<br>Japan",03 3913 6611
国際倉庫運輸部,コクサイソウコウンユブ,"Nishi-Shinbashi, Atago, Shinbashi Station","西新橋2丁目5-2<br>Minato, 東京都 〒<br>105-0003<br>Japan",03 3580 9234
宝商晴海倉庫,ホウショウハルミソウコ,null,"晴海4丁目4-3<br>Chūō, 東京都 〒<br>104-0053<br>Japan",03 3533 8438
トミタ倉庫,トミタソウコ • Tomita倉庫,Ukitacho,"宇喜田町1408<br>Edogawa, 東京都 〒<br>134-0082<br>Japan",03 3688 0181
丸運東雲物流センター,マルウンシノノメブツリユウセンター • 丸運東雲物流Sentā,null,"東雲2丁目5-25<br>Koto, 東京都 〒<br>135-0062<br>Japan",03 3529 5211
表谷商事倉庫,オモテヤシヨウジソウコ,null,"扇橋3丁目9-8<br>Koto, 東京都 〒<br>135-0011<br>Japan",03 3647 6157
川村通商東墨田倉庫,カワムラツウシヨウヒガシスミダソウコ,Higashi-sumida,"東墨田2丁目24-14<br>Sumida, 東京都 〒<br>131-0042<br>Japan",03 3612 3242
鈴江コーポレーション芝浦営業所,スズエコーポレーションシバウラエイギョウショ • 鈴江Kōporēshon芝浦営業所,Shibaura-futo Station,"海岸3丁目29-1<br>Minato, 東京都 〒<br>108-0022<br>Japan",03 5484 4377
京旺,ケイオウ,null,"平和島5丁目8-4<br>Ōta, 東京都 〒<br>143-0006<br>Japan",03 5471 1601
澤伸第２倉庫,サワシンダイニソウコ,null,"東領家1丁目13-2<br>Kawaguchi, 埼玉県 〒<br>332-0003<br>Japan",048 229 6891
化研マテリアル東京物流センター,カケンマテリアルトウキョウブツリュウセンター • 化研Materiaru東京物流Sentā,null,"新木場2丁目5-8<br>Koto, 東京都 〒<br>136-0082<br>Japan",03 3521 7439
日本引越倉庫,ニホンヒッコシソウコ,Nishi-Eifuku Station,"浜田山3丁目6-16<br>Suginami, 東京都 〒<br>168-0065<br>Japan",03 3313 1111
五十嵐冷蔵大井物流センター,イガラシレイゾウオオイブツリュウセンター • 五十嵐冷蔵大井物流Sentā,null,"東海5丁目3<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3790 2201
村中金属倉庫,ムラナカキンゾクソウコ,Kitaayase Station,"谷中3丁目9-6<br>Adachi, 東京都 〒<br>120-0006<br>Japan",03 3629 1567
オフィスマネジメントシステム,Ofisumanejimentoshisutemu,Kamiyacho Station,"虎ノ門5丁目12-12<br>Minato, 東京都 〒<br>105-0001<br>Japan",03 3434 6451
イヌイ倉庫トランクルーム事業部,イヌイソウコトランクルームジギョウブ • Inui倉庫Torankurūmu事業部,null,"勝どき1丁目13-6<br>Chūō, 東京都 〒<br>104-0054<br>Japan",03 3534 1234
第一海陸,ダイイチカイリク,null,"東海6丁目3-1<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3790 7701
トランクルーム笹塚マイトランク受付センター,トランクルームササヅカマイトランクウケツケセンター • Torankurūmu笹塚Maitoranku受付Sentā,Sasazuka Station,"笹塚1丁目58-8<br>Shibuya, 東京都 〒<br>151-0073<br>Japan",03 3373 7920
ダイセイ,Daisei,null,"あざみ野南2丁目7-10<br>横浜市 青葉区, 神奈川県 〒<br>225-0012<br>Japan",045 911 4961
小岩倉庫運輸篠崎営業所,コイワソウコウンユシノザキエイギヨウシヨ,Shinozaki Station,"篠崎町7丁目13-7<br>Edogawa, 東京都 〒<br>133-0061<br>Japan",03 3670 1234
太洋マリーン日新大井倉庫営業所,タイヨウマリーンニツシンオオイソウコエイギヨウシヨ • 太洋Marīn日新大井倉庫営業所,null,"東海4丁目2-15<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3799 4798
中野倉庫運輸,ナカノソウコウンユ,null,"銀座1丁目21-4<br>Chūō, 東京都 〒<br>104-0061<br>Japan",03 3567 1961
第一倉庫板橋倉庫,ダイイチソウコイタバシソウコ,Nishi-takashimadaira Station,"高島平6丁目1-7<br>Itabashi, 東京都 〒<br>175-0082<br>Japan",03 3975 5601
永山物流センター,エイサンブツリュウセンター • 永山物流Sentā,null,"奥戸8丁目12-7<br>Katsushika, 東京都 〒<br>124-0022<br>Japan",03 5671 3577
結城運輸倉庫王子営業所,ユウキウンユソウコオウジエイギヨウシヨ,Horinouchi,"椿1丁目3-6<br>Adachi, 東京都 〒<br>123-0871<br>Japan",03 3857 3348
日本トランスシティ関東支社代表受付,ニホントランスシティカントウシシャダイヒョウウケツケ • 日本Toransushiti関東支社代表受付,Shinagawa Station,"高輪3丁目23-17<br>Minato, 東京都 〒<br>108-0074<br>Japan",03 6409 0382
佐志田倉庫錦糸町営業所,サシダソウコキンシチョウエイギョウショ,Kinshicho Station,"毛利2丁目9-20<br>Koto, 東京都 〒<br>135-0001<br>Japan",03 3634 5621
徳間,トクマ,"Takadanobaba Station, Shimoochiai Station","高田馬場4丁目12-7<br>Shinjuku, 東京都 〒<br>169-0075<br>Japan",03 3227 5911
マイトランク受付センター,マイトランクウケツケセンター • Maitoranku受付Sentā,null,"日本橋小舟町1-3<br>Chūō, 東京都 〒<br>103-0024<br>Japan",0120 75 9030
三国倉庫,ミクニソウコ,null,"東雲2丁目5-30<br>Koto, 東京都 〒<br>135-0062<br>Japan",03 3529 0181
羽石貸倉庫,ハネイシカシソウコ,Iriya,"皿沼1丁目22-5<br>Adachi, 東京都 〒<br>123-0862<br>Japan",03 3899 0065
曙倉庫,アケボノソウコ,Akebonobashi Station,"片町8-2<br>Shinjuku, 東京都 〒<br>160-0001<br>Japan",03 3359 6481
スペースプロダクツらく賃ＢＯＸ受付センター,スペースプロダクツラクチンボックスウケツケセンター • Supēsupurodakutsuらく賃Ｂｏｘ受付Sentā,null,"千石2丁目10-13<br>Koto, 東京都 〒<br>135-0015<br>Japan",03 5683 1956
富士倉庫運輸芝浦営業所,フジソウコウンユシバウラエイギョウショ,Shibaura-futo Station,"海岸3丁目31-1<br>Minato, 東京都 〒<br>108-0022<br>Japan",03 3452 7511
芝海,シバカイ,null,"東海4丁目7―20<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3790 5491
早川海陸輸送大井物流センター,ハヤカワカイリクユソウオオイブツリュウセンター • 早川海陸輸送大井物流Sentā,null,"東海4丁目9-7<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3790 4976
タイセイロジテム,Taiseirojitemu,null,"新倉7丁目12-32<br>Wako, 埼玉県 〒<br>351-0115<br>Japan",048 467 1750
三菱倉庫株式会社東京支店青海営業所,ミツビシソウコトウキョウシテンアオミエイギョウショ,null,"青海4丁目5-1<br>Koto, 東京都 〒<br>135-0064<br>Japan",03 3528 0771
大嘉倉庫,タイカソウコ,null,"勝どき5丁目11-8<br>Chūō, 東京都 〒<br>104-0054<br>Japan",0120 39 1375
アコマ医科工業鹿浜倉庫,アコマイカコウギヨウシカハマソウコ • Akoma医科工業鹿浜倉庫,Shikahama,"鹿浜3丁目236<br>Adachi, 東京都 〒<br>123-0864<br>Japan",03 3853 2320
東京団地倉庫本社,トウキヨウダンチソウコホンシヤ,null,"永代2丁目31-1<br>Koto, 東京都 〒<br>135-0034<br>Japan",03 3641 3124
澁澤倉庫総合案内,シブサワソウコソウゴウアンナイ,null,"永代2丁目37-25<br>Koto, 東京都 〒<br>135-0034<br>Japan",03 5646 7220
あるある倉庫,アルアルソウコ,null,"大島6丁目3-12<br>Koto, 東京都 〒<br>136-0072<br>Japan",03 5609 8561
熊野屋深川倉庫,クマノヤフカガワソウコ,null,"海辺6-9<br>Koto, 東京都 〒<br>135-0012<br>Japan",03 3644 8364
三和倉庫,サンワソウコ,"Daimon Station, Shibakoen Station, Hamamatsucho Station","芝公園2丁目4-1<br>Minato, 東京都 〒<br>105-0011<br>Japan",03 3578 3001
濃飛倉庫運輸東京葛西営業所,ノウヒソウコウンユトウキヨウシテンカサイエイギヨウシヨ,Kasairinkaikoen Station,"臨海町3丁目5-1<br>Edogawa, 東京都 〒<br>134-0086<br>Japan",03 3680 1101
住友倉庫東京本社経理部,スミトモソウコトウキヨウホンシヤケイリブ,null,"新川2丁目271<br>Chūō, 東京都 〒<br>104-0033<br>Japan",03 3297 2512
大東通運谷塚倉庫,ダイトウツウウンヤツカソウコ,null,"谷塚2丁目5-12<br>Soka, 埼玉県 〒<br>340-0028<br>Japan",0489 22 5972
ＯＺスペース,オーゼットスペース • Ｏｚsupēsu,null,"関町東1丁目1-5<br>Nerima, 東京都 〒<br>177-0052<br>Japan",03 3928 6127
岡田運輸倉庫,オカダウンユソウコ,null,"京浜島2丁目17-4<br>Ōta, 東京都 〒<br>143-0003<br>Japan",03 3790 1781
ダイトーコーポレーション倉庫事業部有明国際物流センター,ダイトーコーポレーションソウコジギョウブアリアケコクサイブツリュウセンター • Daitōkōporēshon倉庫事業部有明国際物流Sentā,null,"青海4丁目4-15<br>Koto, 東京都 〒<br>135-0064<br>Japan",03 3528 3040
バンダイロジパル本社,バンダイロジパルホンシャ • Bandairojiparu本社,Higashi-yotsugi,"東四つ木4丁目42-5<br>Katsushika, 東京都 〒<br>124-0014<br>Japan",03 3695 5151
東京倉庫庶務部,トウキヨウソウコシヨムブ,Oi Keibajomae Station,"勝島1丁目4-3<br>Shinagawa, 東京都 〒<br>140-0012<br>Japan",03 3765 5786
マルフク産業品川物流センター,マルフクサンギョウシナガワブツリュウセンター • Marufuku産業品川物流Sentā,Oi Keibajomae Station,"勝島1丁目2-1<br>Shinagawa, 東京都 〒<br>140-0012<br>Japan",03 5753 8010
東都冷蔵機械室,トウトレイゾウキカイシツ,Senjuohashi Station,"千住　橋戸町96<br>Adachi, 東京都 〒<br>120-0038<br>Japan",03 3879 2772
ライゼボックス・ライゼ中野坂上ライゼボックス,ライゼボックスライゼナカノサカウエライゼボックス • Raizebokkusu・Raize中野坂上Raizebokkusu,Nakanosakaue Station,"本町1丁目15<br>Nakano, 東京都 〒<br>164-0012<br>Japan",03 3373 7501
ライゼボックスライゼ下馬ライゼボックス,ライゼボックスライゼシモウマライゼボックス • Raizebokkusuraize下馬Raizebokkusu,null,"下馬6丁目31-17<br>Setagaya, 東京都 〒<br>154-0002<br>Japan",03 3795 2205
原澤鋼材石原町倉庫,ハラサワコウザイイシワラマチソウコ,null,"石原1丁目28-6<br>Sumida, 東京都 〒<br>130-0011<br>Japan",03 3622 2037
三信倉庫株式会社城南島流通センター,サンシンソウコジョウナンジマリュウツウセンター • 三信倉庫株式会社城南島流通Sentā,null,"城南島7丁目2-2<br>Ōta, 東京都 〒<br>143-0002<br>Japan",03 3790 7711
中村運輸倉庫,ナカムラウンユソウコ,"Kamezawa, Kinshicho Station","亀沢4丁目17-13<br>Sumida, 東京都 〒<br>130-0014<br>Japan",03 3622 3679
平岡江戸川倉庫,ヒラオカエドガワソウコ,"Yagouchi, Shinozaki Station","篠崎町6丁目4-18<br>Edogawa, 東京都 〒<br>133-0061<br>Japan",03 3678 2320
加瀬倉庫,カセソウコ,Nishi-araidaishi-nishi Station,"江北6丁目3-7<br>Adachi, 東京都 〒<br>123-0872<br>Japan",03 5839 6661
クニミネ関東物流センター,クニミネカントウブツリュウセンター • Kunimine関東物流Sentā,null,"港62<br>Urayasu, 千葉県 〒<br>279-0024<br>Japan",047 704 9731
城南製鋼所製品倉庫,ジヨウナンセイコウシヨセイヒンソウコ,null,"領家5丁目1-18<br>Kawaguchi, 埼玉県 〒<br>332-0004<br>Japan",048 223 9860
平泉洋行業平倉庫,ヘイセンヨウコウナリヒラソウコ,"Yokokawa, Tokyo Skytree Station","業平1丁目13<br>Sumida, 東京都 〒<br>130-0002<br>Japan",03 3622 0930
牧野商会横川倉庫,マキノショウカイヨコカワソウコ,Yokokawa,"横川1丁目1-10<br>Sumida, 東京都 〒<br>130-0003<br>Japan",03 3626 1066
桜井倉庫,サクライソウコ,"Iwamotocho Station, Akihabara Station","神田佐久間町3丁目5<br>Chiyoda, 東京都 〒<br>101-0025<br>Japan",03 3861 0181
永井,ナガイ,Futabacho,"双葉町2-8<br>Itabashi, 東京都 〒<br>173-0011<br>Japan",03 5375 6400
渡辺倉庫運送,ワタナベソウコウンソウ,"Hamamatsucho Station, Daimon Station","浜松町2丁目4-21<br>Minato, 東京都 〒<br>105-0013<br>Japan",03 3436 1021
共栄商事ロジスティクス事業部半導体物流センター,キョウエイショウジロジスティクスジギョウブハンドウタイブツリユウセンター • 共栄商事Rojisutikusu事業部半導体物流Sentā,Kasairinkaikoen Station,"臨海町3丁目51<br>Edogawa, 東京都 〒<br>134-0086<br>Japan",03 5605 6811
第一倉庫株式会社東京営業所足立倉庫,ダイイチソウコトウキョウエイギョウショアダチソウコ,Tonerikoen Station,"入谷6丁目2-11<br>Adachi, 東京都 〒<br>121-0836<br>Japan",03 3855 3251
トランクルーム日暮里,トランクルームニッポリ • Torankurūmu日暮里,null,"東日暮里4丁目33-4<br>Arakawa, 東京都 〒<br>116-0014<br>Japan",0120 25 8911
ユニエックス倉庫グループ大井物流センター業務チーム,ユニエックスソウコグループオオイブツリュウセンターギョウムチーム • Yuniekkusu倉庫Gurūpu大井物流Sentā業務Chīmu,null,"東海4丁目412<br>Ōta, 東京都 〒<br>143-0001<br>Japan",03 3799 0041
